Nama Posisi,JOB_ID,UPLOAD_ID,File Storage
Sales Group Head (VCBL),261105,,
Account Executive Japanese Client,261684,137,data/raw/Account_Executive_Japanese_Client.csv
Software Engineer,262597,235,data/raw/Software_Engineer.csv
Accounting Staff,262696,1540,data/raw/Accounting_Staff.csv
Freelance Data Scanner,264098,19606767,
Account Executive VCBL,259102,629,data/raw/Account_Executive_VCBL.csv
Account Executive Pasangiklan.com,256571,423,data/raw/Account_Executive_Pasangiklancom.csv
Business Development Analyst,265100,438,data/raw/Business_Development_Analyst.csv
Data Analyst (Business Intelligence),265246,615,data/raw/Data_Analyst_Business_Intelligence.csv
Sustainability Officer KG Media,265471,196,data/raw/Sustainability_Officer_KG_Media.csv
Marketing Communication Officer KG Media,265541,893,data/raw/Marketing_Communication_Officer_KG_Media.csv
Strategic Planner KG Media,264624,177,data/raw/Strategic_Planner_KG_Media.csv
Procurement Event Officer,262981,1805,data/raw/Procurement_Event_Officer.csv
Content Creator,261126,2969,data/raw/Content_Creator.csv
Reporter Megapolitan,264515,485,data/raw/Reporter_Megapolitan.csv
Reporter Nasional,264516,521,data/raw/Reporter_Nasional.csv
Content Writer Homey,264510,331,data/raw/Content_Writer_Homey.csv
