Nama Posisi,JOB_ID,UPLOAD_ID,File Storage
Account Executive Kompasiana,260796,19080600,https://storage.googleapis.com/rec-data.kalibrr.com/www.kalibrr.com/job-csv-exports/3CS2SYJ822PS6KEXG79TFGPL9MUYTAW9H59PJAVL-6934d6a9.csv?Expires=1765092108&GoogleAccessId=abelian-backend%40kalibrr-platform.iam.gserviceaccount.com&Signature=IWxerg9tbjR3YqxD4f5qD0yBquQazFAWo1ZmI%2B04qleRoqSEuo%2BinaWD5jA8eayw3qiMkk8NGIGgIuU%2Fz2jUxzio9R4Nr3rjBraQiMp28Au0mfW6s7em9G1Fh9CvT4yHXdxVXJHDEaoT2WNIddvCqT3YvUNh2QlsUUCScVK1QOaLqv6Ixyq4VsVARzkUaZAjmUMWknDERgVoIkLsf1wCZMy3Ah%2B4ln0%2FKgW6QBA%2FWAgIEghjhPpc%2FoJmPLOjaST%2BHT%2F%2BOWioe5qtkb0xdmhLRMbkLWTnHPkrKH%2F0dj5QJ1JxHpRo%2B%2Fd1L9HggxWQa8NMGb7uusRIaV3qDy8gcYotmA%3D%3D
Account Executive Pasangiklan.com,256571,,
Account Executive VCBL,259102,,
Account Executive KOMPAScom,260574,19080611,https://storage.googleapis.com/rec-data.kalibrr.com/www.kalibrr.com/job-csv-exports/9N3BTC2WHL35N4NDHXGG85YSAK9TF9XDE4LNXNQ8-6934d92e.csv?Expires=1765092753&GoogleAccessId=abelian-backend%40kalibrr-platform.iam.gserviceaccount.com&Signature=Rznpy2djDo5P9MmkA1mbSgoD%2FHDzP%2Fn7s3P9SV6FEVhOZ3h%2FAVzuf2EWhngC9qShLASHMQojfOId1uGpXsFGQI6mylrauLIoyeXgfyqbieixiE6vqWoRnLX2YQemIb7%2Bo8RT4az7JX4oCOLRNhzfF78VlRgHPmWH%2Bn1IM0Pl5zPH9eQfwgtqU31jkKgAN7aEvOom1d2PXyI7%2BxpNaJg%2BKJk%2FHVOTTjP3VHNa0sgREYb2xX%2FOku7iwZqU5qZJANiJZ4qOKo11wQzpOmRTIdnZykkq5sALgwlLBDMnFIb9U07qdFrOzjCTwi%2BSTBpunnr9R7vXWc2gMicfghM1nDI%2B3w%3D%3D
Sales Group Head (VCBL),261105,19080617,https://storage.googleapis.com/rec-data.kalibrr.com/www.kalibrr.com/job-csv-exports/CF8GERGSJ25GEZUJK9UDBXREM4XEBPAKHN35G75C-6934d986.csv?Expires=1765092841&GoogleAccessId=abelian-backend%40kalibrr-platform.iam.gserviceaccount.com&Signature=RdHgZEjXDoLiQMTNxmwTclS4BZg7%2BEWb9rDodxE%2Fy7p7LXhnceeUExZNNWjKZu5tCkEJLW1wrUJqGybB55yhqcCflaUpsw4JxLsULBTSkI382aQ%2BlrvD29O1WgMRLGowu5qm9xV9FvFLQQhjdo%2BLS2uVLa5frsYdYFuyQ0gZuIsMEgjF1H0FkY9aVLpMnrtptvz6zGPt1zAcczpQUIR0bfxacRi6rxXmwUD14hOZbYUFtTv97SP6kFbc0GSnsfcPG3EEb1MB4j4URDOGhE%2FetIotJIFzDmgw5yHRPARG%2FHIk1wu7yJllcys4Cot3HyhojN%2B8myUHsflZmifeokOmdg%3D%3D
Data Reliability Admin,261144,,
iOS Engineer,257710,19080625,https://storage.googleapis.com/rec-data.kalibrr.com/www.kalibrr.com/job-csv-exports/BA79GWTE74SUX8TCQ7KFKNE97K8R4JX8LE2MUR5W-6934db4b.csv?Expires=1765093294&GoogleAccessId=abelian-backend%40kalibrr-platform.iam.gserviceaccount.com&Signature=J5F3V6hmJdCJ7lLrLnhPscczwiMHi6eznGjSejJqeze74NbGXVlKYQB1CEG8cC%2FAxwpC1Pu%2FAe3dXibtXidvoP4NqRenq5K6EX9AXLp3cUG13tEtDf2zZi%2BAEYTCHmaAjRYxzbwNQzEw514R%2BJjX43gMSoTb58EUfoP1r0DvmtNxz%2BwIHzas0jBrhUW1M2DwjZ%2FhsqSf3R9%2Ba0LWVjeOMXMLl8mEZPcVjleP7bCtuIiOdbibMoMSnUimjNpxW3plddXfR1IqXOCsNWZX5KLebLtCYejwhUh8gGTO9tJWHPF4x6fraqRn3wkTVpXL2svg4i2MAJZ5vcv8m6i2i8r%2BVw%3D%3D
Software Engineer,256675,,
Data Scanner,258544,,
Video Creator (AI Production),258474,19080650,https://storage.googleapis.com/rec-data.kalibrr.com/www.kalibrr.com/job-csv-exports/8KRAECFM5C7YAN98X54MDLGFG3BGMWGVZKB6B2A2-6934de23.csv?Expires=1765094022&GoogleAccessId=abelian-backend%40kalibrr-platform.iam.gserviceaccount.com&Signature=M2wzdvg3i8FV8y0ncyT7JPkPZ8qc87FUDulv00DNhxFh2xBkjUgbtryYVBKqnS9iqXNiOVzIWb2uxmi%2Bxq8kSySVCtJRSjCIGqo6eZWxIQ6gf9WlCy9O2qpsF0KZNy6XjYsEZ4P6SIe2q5KUc6LqAPL4KHOPLQ7BOFEJ6sxlUczE7S%2FtrWlDwuuxfJH5cV1tRDN4gRAainEHgAS1vzq%2BtAr2vktArQ8%2FYyY9xwXU8F8%2FIttb4mDcoVAnw95OJMiXjTv%2BZo4tzGrtGiqaTVrEFw7YvVCpT4GEcR%2Fz3VEU1MWsPBwHaZpqNho9tAVEOsdmT3iEnWDkd%2Be5OP9Xjlc81Q%3D%3D
Product Designer,261712,19080654,https://storage.googleapis.com/rec-data.kalibrr.com/www.kalibrr.com/job-csv-exports/ZCD3NQKCUYLU7NAQZ8ZE7AP6323QWP8DMSA5YNGN-6934de8a.csv?Expires=1765094126&GoogleAccessId=abelian-backend%40kalibrr-platform.iam.gserviceaccount.com&Signature=2n2sqqJONrJHLi6JWZe8IismAev2A4Aj8%2BqCC8Xj29OD8mdhik2P2wHz5Q3%2FZH6lUzCCb2%2FQok3uIO%2FwolbOcsIqSMLitpr0wCWKz4Ypi9bjxB%2Fo81BgZEskk5ru%2BcgCREFiIhg4tNdl594fSJp8I5bDzG%2F71JWDjod%2BBFJ7OK2iIrmpf97%2FYK3O8I1JlC7%2BqJVXfR%2Ff5r5SrJ61X8tnqCPiz9UvZ%2B8CmxLsdgJdlDqGV7TYAAMGJMg8XJemIelzrLocUNVqG8KKGuBwoMEi0%2FowpHWUF5mXW16dhlrIJdl23Fd9TnLBnsf2JG1IwbEIiKKAKYfS1w2R4TCxFC7lxQ%3D%3D
Content Creator,261126,19080664,https://storage.googleapis.com/rec-data.kalibrr.com/www.kalibrr.com/job-csv-exports/44BP8DUZWGFA23S59R2E74KNPG5XLEWLEUSM5JEU-6934df70.csv?Expires=1765094354&GoogleAccessId=abelian-backend%40kalibrr-platform.iam.gserviceaccount.com&Signature=qhrSr%2FIuJK3EaIHBDfnOY9ZETj%2B5Rr7ryzIUBfKz2pusWOTKt6F%2FlGPeADs%2BrKNquRG0sAx1VRel4PDUsPYGOAFY4EZnmf40VCUx3gn1yQZvGcBTxSma%2FfcD%2BPKYUuzsavtcwolO6qrganwq8o9UpDSudfYHgIs446LRbIgi8GWtaUhuMQkLdemTYnnm5RRFuNyNmznhB%2BG5exCcwo8NsjU71Y3uZEtZt6xVQmnBlx2KF3Td4uoNHyVY2GRSUQKO1bWdE52pghIuhwv1GDHFFWOAxPD%2FCCAWge47UdJnFbY0yZhPqV4SiACQEyDCb%2FicyZUuU%2BnYZmSOpRQrmzkTeQ%3D%3D
